output,time_step,indicator,cor_value
AN,1,AN,0.8500089961139645
AN,1,BOD,0.6619177170754217
AN,1,COD,0.6803637970787721
AN,1,DO,0.6812009244414026
AN,1,pH,0.687509681946223
AN,1,TP,0.6696384393626991
AN,1,WT,0.6208244451185557
AN,2,AN,0.8123403232165909
AN,2,BOD,0.6555065947719733
AN,2,COD,0.6758640817134159
AN,2,DO,0.6746367365211313
AN,2,pH,0.6873228015392376
AN,2,TP,0.6594457593528789
AN,2,WT,0.6352493749346262
AN,3,AN,0.7714446412004144
AN,3,BOD,0.6429555722255305
AN,3,COD,0.676455738564544
AN,3,DO,0.6658118563570514
AN,3,pH,0.6861130903950676
AN,3,TP,0.6527460324141088
AN,3,WT,0.6553674542026175
AN,4,AN,0.7356023276991062
AN,4,BOD,0.6379090082644302
AN,4,COD,0.6753300601973957
AN,4,DO,0.656127197615426
AN,4,pH,0.685491145740406
AN,4,TP,0.6498097285173958
AN,4,WT,0.678973082137418
AN,5,AN,0.7007003383389396
AN,5,BOD,0.634986998163161
AN,5,COD,0.6773766915580901
AN,5,DO,0.6479852967639188
AN,5,pH,0.684592042050734
AN,5,TP,0.6454201359700116
AN,5,WT,0.696070177582324
AN,6,AN,0.6913603923047172
AN,6,BOD,0.635844165771186
AN,6,COD,0.6772570602531157
AN,6,DO,0.6459656634840706
AN,6,pH,0.6844478804854912
AN,6,TP,0.6448097066829365
AN,6,WT,0.7027791995398055
AN,7,AN,0.6940522682933251
AN,7,BOD,0.6381490367505188
AN,7,COD,0.6799862860426769
AN,7,DO,0.6464118657232055
AN,7,pH,0.6847210227220778
AN,7,TP,0.6454091871267771
AN,7,WT,0.6986264376898014
AN,8,AN,0.7150302320117228
AN,8,BOD,0.6487379332282541
AN,8,COD,0.679746382022272
AN,8,DO,0.6523356354672826
AN,8,pH,0.6862968648818084
AN,8,TP,0.6518116380646712
AN,8,WT,0.6853392974021412
AN,9,AN,0.7479037980981008
AN,9,BOD,0.6544137282700317
AN,9,COD,0.6808439685417977
AN,9,DO,0.6610812480875227
AN,9,pH,0.6865858147854281
AN,9,TP,0.6580014581153315
AN,9,WT,0.6628379787605247
AN,10,AN,0.7826926568953658
AN,10,BOD,0.6590228055008048
AN,10,COD,0.6810084366154051
AN,10,DO,0.6701886669204082
AN,10,pH,0.6867011312138883
AN,10,TP,0.6608320345855015
AN,10,WT,0.640431861242294
AN,11,AN,0.8134670936745695
AN,11,BOD,0.6671788378101265
AN,11,COD,0.6799932825407923
AN,11,DO,0.6790131408100447
AN,11,pH,0.6873213334308063
AN,11,TP,0.6643095424977725
AN,11,WT,0.6233130932604398
AN,12,AN,0.826015432319496
AN,12,BOD,0.6696555882809864
AN,12,COD,0.6801913158836944
AN,12,DO,0.6844490272758657
AN,12,pH,0.688385996555474
AN,12,TP,0.6624409822976403
AN,12,WT,0.6147696621609531
BOD,1,AN,0.6694091845296495
BOD,1,BOD,0.9401006763946216
BOD,1,COD,0.9265017372112646
BOD,1,DO,0.9457117329380349
BOD,1,pH,0.9458927974542328
BOD,1,TP,0.7735963560428738
BOD,1,WT,0.85987501018453
BOD,2,AN,0.6658005095981276
BOD,2,BOD,0.9297916684361682
BOD,2,COD,0.9247924275784507
BOD,2,DO,0.9432008451533288
BOD,2,pH,0.9457772068406833
BOD,2,TP,0.7731912318948457
BOD,2,WT,0.8639286701809757
BOD,3,AN,0.6607595106142662
BOD,3,BOD,0.9195703027602684
BOD,3,COD,0.9252914333531584
BOD,3,DO,0.9378737594016161
BOD,3,pH,0.9452942330111616
BOD,3,TP,0.7743756631803009
BOD,3,WT,0.8731190592580255
BOD,4,AN,0.6536602113854793
BOD,4,BOD,0.9138035396033152
BOD,4,COD,0.925623464875472
BOD,4,DO,0.9323506077893448
BOD,4,pH,0.9452263695641815
BOD,4,TP,0.7742059118138609
BOD,4,WT,0.8863671259387702
BOD,5,AN,0.6454133555101877
BOD,5,BOD,0.9083070494793506
BOD,5,COD,0.9253704377556566
BOD,5,DO,0.9276666491704386
BOD,5,pH,0.9453547105273394
BOD,5,TP,0.7717328167705633
BOD,5,WT,0.8986507731763859
BOD,6,AN,0.64178902272722
BOD,6,BOD,0.9060826867108468
BOD,6,COD,0.9264320896898538
BOD,6,DO,0.9243214136905774
BOD,6,pH,0.9454637530255192
BOD,6,TP,0.769048862095065
BOD,6,WT,0.9064921365077111
BOD,7,AN,0.6388044710429648
BOD,7,BOD,0.9067321735645668
BOD,7,COD,0.9242547511369227
BOD,7,DO,0.9233248979853923
BOD,7,pH,0.9452335703908167
BOD,7,TP,0.7685053878138456
BOD,7,WT,0.9102468545113604
BOD,8,AN,0.6421150313944419
BOD,8,BOD,0.911759522959797
BOD,8,COD,0.9245081230350527
BOD,8,DO,0.9251515316721349
BOD,8,pH,0.9453850964090778
BOD,8,TP,0.7666663813514203
BOD,8,WT,0.9063128080015332
BOD,9,AN,0.6427836694738209
BOD,9,BOD,0.914440265242313
BOD,9,COD,0.9234599130545769
BOD,9,DO,0.9290922975617855
BOD,9,pH,0.9457589943595587
BOD,9,TP,0.7692932585786189
BOD,9,WT,0.8967555579268726
BOD,10,AN,0.6479599106747194
BOD,10,BOD,0.9202812976833131
BOD,10,COD,0.9249442711638123
BOD,10,DO,0.9348781753064197
BOD,10,pH,0.9457302343201275
BOD,10,TP,0.7744041586839236
BOD,10,WT,0.8842664515538879
BOD,11,AN,0.6599119244122001
BOD,11,BOD,0.9232022243237769
BOD,11,COD,0.9257951760035698
BOD,11,DO,0.9401250781195956
BOD,11,pH,0.9459877872877661
BOD,11,TP,0.774985623866661
BOD,11,WT,0.8732289446999223
BOD,12,AN,0.6682061113922998
BOD,12,BOD,0.9293210987948978
BOD,12,COD,0.9267835356346527
BOD,12,DO,0.9445589935307356
BOD,12,pH,0.9460946227684567
BOD,12,TP,0.7770206975112216
BOD,12,WT,0.8638456359396469
COD,1,AN,0.6868108584063304
COD,1,BOD,0.926892293460505
COD,1,COD,0.9814455740508161
COD,1,DO,0.9541481156016604
COD,1,pH,0.9716079207045624
COD,1,TP,0.8318158729405452
COD,1,WT,0.9242337768664056
COD,2,AN,0.6882589301806707
COD,2,BOD,0.9267975014223906
COD,2,COD,0.9777933624169957
COD,2,DO,0.9547936542987496
COD,2,pH,0.9718461147792491
COD,2,TP,0.8309724639574936
COD,2,WT,0.9218341417972098
COD,3,AN,0.6867006334697097
COD,3,BOD,0.9260460338444045
COD,3,COD,0.9731963118509821
COD,3,DO,0.9557244113549457
COD,3,pH,0.9718871966052999
COD,3,TP,0.8297660459428746
COD,3,WT,0.918093294645826
COD,4,AN,0.6869463760845286
COD,4,BOD,0.9267711481860397
COD,4,COD,0.9712243934429833
COD,4,DO,0.9570099856333791
COD,4,pH,0.9720464072613192
COD,4,TP,0.8281613218073007
COD,4,WT,0.9142438631807878
COD,5,AN,0.6844196651234539
COD,5,BOD,0.9262718684200617
COD,5,COD,0.9697081316907132
COD,5,DO,0.958547565059955
COD,5,pH,0.9720643813160409
COD,5,TP,0.8261122151799385
COD,5,WT,0.9109179423960879
COD,6,AN,0.6844330803817229
COD,6,BOD,0.9271732925098274
COD,6,COD,0.9695408614388836
COD,6,DO,0.9595148536851076
COD,6,pH,0.9719362116592413
COD,6,TP,0.8255005134209344
COD,6,WT,0.9085646960905069
COD,7,AN,0.6821483932799524
COD,7,BOD,0.9272869468221104
COD,7,COD,0.9688122160811827
COD,7,DO,0.9594843797237589
COD,7,pH,0.9720566760189687
COD,7,TP,0.8241300087400223
COD,7,WT,0.9085548617801156
COD,8,AN,0.6801513234142585
COD,8,BOD,0.9253127591938017
COD,8,COD,0.9700643083892785
COD,8,DO,0.9584866724055248
COD,8,pH,0.9721566618937584
COD,8,TP,0.8236310902657827
COD,8,WT,0.9105542271220931
COD,9,AN,0.6820994945268738
COD,9,BOD,0.9249019425453208
COD,9,COD,0.9709059869860283
COD,9,DO,0.9573953347492533
COD,9,pH,0.9720309045161352
COD,9,TP,0.8246448757514981
COD,9,WT,0.9133344317469201
COD,10,AN,0.6809382451393025
COD,10,BOD,0.9248407044694096
COD,10,COD,0.972222474533406
COD,10,DO,0.9561888098437565
COD,10,pH,0.9720635430424569
COD,10,TP,0.8245065805812976
COD,10,WT,0.9180425505817292
COD,11,AN,0.6809864959977516
COD,11,BOD,0.9268103649393443
COD,11,COD,0.9747456293294212
COD,11,DO,0.9550506422963161
COD,11,pH,0.9720111908027185
COD,11,TP,0.8265421681514709
COD,11,WT,0.9224902476937282
COD,12,AN,0.6819932133629759
COD,12,BOD,0.9280864228558559
COD,12,COD,0.9768639730116108
COD,12,DO,0.9542973539136921
COD,12,pH,0.9719743404727472
COD,12,TP,0.8292813811617241
COD,12,WT,0.9248788380375969
DO,1,AN,0.6789390639829426
DO,1,BOD,0.9401047351168654
DO,1,COD,0.9556004544828449
DO,1,DO,0.9924253663775
DO,1,pH,0.9852661074962349
DO,1,TP,0.7967394926484991
DO,1,WT,0.8835793248443256
DO,2,AN,0.6717827360248457
DO,2,BOD,0.9344378776042023
DO,2,COD,0.9570454567495394
DO,2,DO,0.9841260604246149
DO,2,pH,0.984908139496354
DO,2,TP,0.7961216141625385
DO,2,WT,0.8990311692663014
DO,3,AN,0.6651505215320939
DO,3,BOD,0.9285893589147911
