output,time_step,indicator,cor_value
AN,1,AN,0.3350272332506919
AN,1,BOD,0.05922153175938064
AN,1,COD,0.0740451035575048
AN,1,DO,0.05897159879774886
AN,1,pH,0.08638997192770093
AN,1,TP,0.13048144455601599
AN,1,WT,0.07755459947782399
AN,2,AN,0.2682655369528817
AN,2,BOD,0.05505391026703963
AN,2,COD,0.06185220094434924
AN,2,DO,0.06442121893645189
AN,2,pH,0.0845327203275026
AN,2,TP,0.13104040523545188
AN,2,WT,0.07481378416296436
AN,3,AN,0.2232085593484739
AN,3,BOD,0.05721354558765476
AN,3,COD,0.06528328355705112
AN,3,DO,0.06643367764819616
AN,3,pH,0.09233313801968056
AN,3,TP,0.12400522061430935
AN,3,WT,0.06041013865914419
AN,4,AN,0.1997188863217152
AN,4,BOD,0.059054569835113396
AN,4,COD,0.07303374259983751
AN,4,DO,0.08028754321714374
AN,4,pH,0.09059913836525543
AN,4,TP,0.11995865148542079
AN,4,WT,0.06452398834281894
AN,5,AN,0.18953509825795214
AN,5,BOD,0.0711867473412796
AN,5,COD,0.06942412406662243
AN,5,DO,0.0986047688217561
AN,5,pH,0.09607237737199663
AN,5,TP,0.13111459894138738
AN,5,WT,0.07973701199468448
AN,6,AN,0.1805931460424757
AN,6,BOD,0.0705782989083302
AN,6,COD,0.0702516503029117
AN,6,DO,0.10775189328218446
AN,6,pH,0.09719040855902505
AN,6,TP,0.13486905167583826
AN,6,WT,0.08345665601350243
AN,7,AN,0.18442635515948191
AN,7,BOD,0.06939700817911822
AN,7,COD,0.0769835813096057
AN,7,DO,0.10317953487708507
AN,7,pH,0.09627019020374145
AN,7,TP,0.1361418719507502
AN,7,WT,0.09021132949461018
AN,8,AN,0.1933504749242279
AN,8,BOD,0.06268056567890334
AN,8,COD,0.07096072265952345
AN,8,DO,0.08614896063408388
AN,8,pH,0.09492212027683333
AN,8,TP,0.1346931542573093
AN,8,WT,0.0771690130850544
AN,9,AN,0.20189931525741137
AN,9,BOD,0.06085652396670365
AN,9,COD,0.07361198368642057
AN,9,DO,0.07295298553874924
AN,9,pH,0.09197526635256267
AN,9,TP,0.13622483052337975
AN,9,WT,0.05818136324394372
AN,10,AN,0.23282349258899235
AN,10,BOD,0.060359347512810045
AN,10,COD,0.06560619646923341
AN,10,DO,0.06615916944887136
AN,10,pH,0.09311492136543108
AN,10,TP,0.14273967911962865
AN,10,WT,0.06269458733281792
AN,11,AN,0.2541913403365451
AN,11,BOD,0.06362026240097556
AN,11,COD,0.07776021987443509
AN,11,DO,0.06765244952500096
AN,11,pH,0.08927619065890342
AN,11,TP,0.14196351582151256
AN,11,WT,0.07196965269397886
AN,12,AN,0.2706882490365791
AN,12,BOD,0.06527016579167741
AN,12,COD,0.06623065683130348
AN,12,DO,0.06672620885895997
AN,12,pH,0.09588990465952056
AN,12,TP,0.14104111249086898
AN,12,WT,0.07604572806742012
BOD,1,AN,0.05919659912245999
BOD,1,BOD,0.21706897143052536
BOD,1,COD,0.05295036608740967
BOD,1,DO,0.07994424672311516
BOD,1,pH,0.054705932737053355
BOD,1,TP,0.054879830753970744
BOD,1,WT,0.0789501483241719
BOD,2,AN,0.054412697624147625
BOD,2,BOD,0.1821085581854559
BOD,2,COD,0.053190767669121536
BOD,2,DO,0.07214771201750078
BOD,2,pH,0.053746035868294316
BOD,2,TP,0.05471096661736357
BOD,2,WT,0.06710522089943512
BOD,3,AN,0.05406730887687793
BOD,3,BOD,0.1497098454020777
BOD,3,COD,0.05664780627844772
BOD,3,DO,0.05410597308144805
BOD,3,pH,0.055161879059086344
BOD,3,TP,0.05613364394909006
BOD,3,WT,0.0512955108738637
BOD,4,AN,0.054921150997566566
BOD,4,BOD,0.12791958543635806
BOD,4,COD,0.051947858990135404
BOD,4,DO,0.041031782098083384
BOD,4,pH,0.05000727852345208
BOD,4,TP,0.056276029978177815
BOD,4,WT,0.048217837972992096
BOD,5,AN,0.05551425442444987
BOD,5,BOD,0.11391757373936884
BOD,5,COD,0.04823235504591546
BOD,5,DO,0.04346467368929792
BOD,5,pH,0.05025730355978123
BOD,5,TP,0.05402442714436588
BOD,5,WT,0.0539156004947434
BOD,6,AN,0.06042571772366116
BOD,6,BOD,0.10473435880374864
BOD,6,COD,0.049295566301252924
BOD,6,DO,0.0522625212196019
BOD,6,pH,0.05311111593763909
BOD,6,TP,0.05668656342511343
BOD,6,WT,0.05854158783908901
BOD,7,AN,0.06262746928586349
BOD,7,BOD,0.09461713649439879
BOD,7,COD,0.044687709246787485
BOD,7,DO,0.05325081388096281
BOD,7,pH,0.0478045738050326
BOD,7,TP,0.055341810700649384
BOD,7,WT,0.06502328379234568
BOD,8,AN,0.06644760034190787
BOD,8,BOD,0.10621674847182529
BOD,8,COD,0.04160608505957633
BOD,8,DO,0.04671608857937292
BOD,8,pH,0.052648386311799536
BOD,8,TP,0.057066637852099804
BOD,8,WT,0.06315017112259068
BOD,9,AN,0.056876777875194406
BOD,9,BOD,0.09567105881422805
BOD,9,COD,0.04059698773966988
BOD,9,DO,0.039294737530275244
BOD,9,pH,0.054629552868615275
BOD,9,TP,0.05502991442232027
BOD,9,WT,0.05630918954448362
BOD,10,AN,0.05632667915985201
BOD,10,BOD,0.0987152285490701
BOD,10,COD,0.04629493268508334
BOD,10,DO,0.03729508704840635
BOD,10,pH,0.05495489075450329
BOD,10,TP,0.05035633402162899
BOD,10,WT,0.052415272106049876
BOD,11,AN,0.06337754456060815
BOD,11,BOD,0.09821705663581833
BOD,11,COD,0.041388144546965294
BOD,11,DO,0.04704435388470963
BOD,11,pH,0.060407197699094514
BOD,11,TP,0.05355172839194366
BOD,11,WT,0.0539186428397033
BOD,12,AN,0.0681058148278511
BOD,12,BOD,0.11137097809072587
BOD,12,COD,0.04140085964908857
BOD,12,DO,0.059905111769108094
BOD,12,pH,0.05588382926965298
BOD,12,TP,0.04741110371173603
BOD,12,WT,0.06961413997048894
COD,1,AN,0.07170883574646404
COD,1,BOD,0.04709249933229393
COD,1,COD,0.3806042599953004
COD,1,DO,0.0421891677241154
COD,1,pH,0.04181905795427001
COD,1,TP,0.1379054663743848
COD,1,WT,0.09854079170180538
COD,2,AN,0.06768657017164642
COD,2,BOD,0.053326781150496355
COD,2,COD,0.3073934069162456
COD,2,DO,0.03951182188463325
COD,2,pH,0.044768656144508215
COD,2,TP,0.13273491512271277
COD,2,WT,0.09687790009369945
COD,3,AN,0.0752487885583596
COD,3,BOD,0.04771351768431406
COD,3,COD,0.24174362160915824
COD,3,DO,0.03196240789888855
COD,3,pH,0.03985419439524369
COD,3,TP,0.13557934483693818
COD,3,WT,0.09495145308659535
COD,4,AN,0.06916219142824778
COD,4,BOD,0.04484742020411729
COD,4,COD,0.2199083409652435
COD,4,DO,0.03386409150902998
COD,4,pH,0.0441851866686422
COD,4,TP,0.12033208008139916
COD,4,WT,0.09931801518662592
COD,5,AN,0.07386091061683044
COD,5,BOD,0.04644691215679638
COD,5,COD,0.1899151327974351
COD,5,DO,0.031032061311462546
COD,5,pH,0.04479837750933659
COD,5,TP,0.1221118372393182
COD,5,WT,0.10159027130592131
COD,6,AN,0.07377591064234573
COD,6,BOD,0.04489697075333026
COD,6,COD,0.1878676418906495
