output,time_step,indicator,cor_value
AN,1,AN,0.7101427742737362
AN,1,BOD,0.02288642568770516
AN,1,COD,0.028915713511188667
AN,1,DO,0.02010656001578372
AN,1,pH,0.21376803334277442
AN,1,TP,0.2467519859557747
AN,1,WT,0.1271371627526773
AN,2,AN,0.63734448849465
AN,2,BOD,0.003359904339557337
AN,2,COD,0.004269453212891303
AN,2,DO,0.06851842760608245
AN,2,pH,0.20539511020475898
AN,2,TP,0.22286144544144829
AN,2,WT,0.06614911620786264
AN,3,AN,0.5583471350955749
AN,3,BOD,0.05542954860531599
AN,3,COD,0.011316259252386912
AN,3,DO,0.1334378423562421
AN,3,pH,0.22657852488480412
AN,3,TP,0.20755047077251162
AN,3,WT,0.018199853903929687
AN,4,AN,0.48907128876827904
AN,4,BOD,0.07608702574505091
AN,4,COD,0.007048907938884138
AN,4,DO,0.20655266909995418
AN,4,pH,0.23212799496030095
AN,4,TP,0.20124143471539213
AN,4,WT,0.11506648153050848
AN,5,AN,0.42180265546727486
AN,5,BOD,0.08714243996239054
AN,5,COD,0.02270432053695598
AN,5,DO,0.26648366904947435
AN,5,pH,0.2434863293164076
AN,5,TP,0.1918855164502709
AN,5,WT,0.18563264374928642
AN,6,AN,0.403100860959482
AN,6,BOD,0.08533588776826997
AN,6,COD,0.02079406900340138
AN,6,DO,0.28351605600555246
AN,6,pH,0.2542866487619574
AN,6,TP,0.19009781967699071
AN,6,WT,0.21219512523790285
AN,7,AN,0.4077922325718047
AN,7,BOD,0.07703996738854342
AN,7,COD,0.035355860144923285
AN,7,DO,0.28198039477979014
AN,7,pH,0.2554658161872789
AN,7,TP,0.191100155636291
AN,7,WT,0.19480282786064948
AN,8,AN,0.447257108774235
AN,8,BOD,0.03770378542104959
AN,8,COD,0.025264492695031084
AN,8,DO,0.24600907922269216
AN,8,pH,0.2521369876366597
AN,8,TP,0.20407259645493256
AN,8,WT,0.13687868966678354
AN,9,AN,0.5110303799179351
AN,9,BOD,0.013580672158117991
AN,9,COD,0.03182101370665244
AN,9,DO,0.1763019935906698
AN,9,pH,0.24318452031567353
AN,9,TP,0.21889542645561147
AN,9,WT,0.04722882900812674
AN,10,AN,0.5791930687281485
AN,10,BOD,0.00659657045026028
AN,10,COD,0.034492376741285566
AN,10,DO,0.10242141228313022
AN,10,pH,0.23026661642544194
AN,10,TP,0.22610271010991978
AN,10,WT,0.041983945046233026
AN,11,AN,0.6389017490849714
AN,11,BOD,0.039785368767113305
AN,11,COD,0.027888301921780705
AN,11,DO,0.03416336926110478
AN,11,pH,0.2120463365872555
AN,11,TP,0.23456876098158547
AN,11,WT,0.11386499314580545
AN,12,AN,0.6630591102297376
AN,12,BOD,0.046793205582125824
AN,12,COD,0.024710058415849126
AN,12,DO,0.0028204484454518973
AN,12,pH,0.20185843449694113
AN,12,TP,0.2290420531184715
AN,12,WT,0.1534530253405857
BOD,1,AN,0.05305366894244854
BOD,1,BOD,0.43542952757381204
BOD,1,COD,0.08938245319605718
BOD,1,DO,0.26081794571697503
BOD,1,pH,0.09891191271911161
BOD,1,TP,0.007058809963151397
BOD,1,WT,0.25134561524125626
BOD,2,AN,0.03574463816805056
BOD,2,BOD,0.3367198247790829
BOD,2,COD,0.065691237464703
BOD,2,DO,0.21636811614180504
BOD,2,pH,0.08591764634600273
