output,time_step,indicator,cor_value,p_value
AN,1,AN,0.7101427742737322,***
AN,1,BOD,0.022886425687705363,
AN,1,COD,0.028915713511188768,
AN,1,DO,0.020106560015783592,
AN,1,pH,0.2137680333427729,***
AN,1,TP,0.24675198595577735,***
AN,1,WT,0.1271371627526773,***
AN,2,AN,0.6373444884946491,***
AN,2,BOD,0.0033599043395571683,
AN,2,COD,0.004269453212891332,
AN,2,DO,0.06851842760608197,***
AN,2,pH,0.20539511020475892,***
AN,2,TP,0.22286144544144876,***
AN,2,WT,0.06614911620786203,***
AN,3,AN,0.5583471350955733,***
AN,3,BOD,0.05542954860531609,***
AN,3,COD,0.011316259252387018,
AN,3,DO,0.13343784235624223,***
AN,3,pH,0.22657852488480362,***
AN,3,TP,0.2075504707725087,***
AN,3,WT,0.01819985390392973,
AN,4,AN,0.4890712887682768,***
AN,4,BOD,0.07608702574505088,***
AN,4,COD,0.007048907938884096,
AN,4,DO,0.20655266909995337,***
AN,4,pH,0.23212799496030093,***
AN,4,TP,0.20124143471539208,***
AN,4,WT,0.11506648153050832,***
AN,5,AN,0.4218026554672752,***
AN,5,BOD,0.08714243996239093,***
AN,5,COD,0.022704320536956073,
AN,5,DO,0.26648366904947396,***
AN,5,pH,0.24348632931640818,***
AN,5,TP,0.19188551645027263,***
AN,5,WT,0.1856326437492869,***
AN,6,AN,0.40310086095948167,***
AN,6,BOD,0.08533588776827028,***
AN,6,COD,0.020794069003401437,
AN,6,DO,0.2835160560055509,***
AN,6,pH,0.2542866487619567,***
AN,6,TP,0.1900978196769901,***
AN,6,WT,0.2121951252379021,***
AN,7,AN,0.40779223257180364,***
AN,7,BOD,0.07703996738854417,***
AN,7,COD,0.035355860144922986,*
AN,7,DO,0.2819803947797896,***
AN,7,pH,0.25546581618727826,***
AN,7,TP,0.19110015563629207,***
AN,7,WT,0.19480282786064945,***
AN,8,AN,0.447257108774238,***
AN,8,BOD,0.03770378542104971,*
AN,8,COD,0.025264492695031115,
AN,8,DO,0.24600907922269385,***
AN,8,pH,0.2521369876366593,***
AN,8,TP,0.20407259645493403,***
AN,8,WT,0.13687868966678346,***
AN,9,AN,0.5110303799179379,***
AN,9,BOD,0.013580672158118014,
AN,9,COD,0.0318210137066523,
AN,9,DO,0.17630199359067017,***
AN,9,pH,0.24318452031567386,***
